"","Country","beer_servings","spirit_servings","wine_servings","total_litres_of_pure_alcohol"
"2","Albania",89,132,54,4.83326
"3","Algeria",25,0,14,0.68446
"4","Andorra",245,138,312,12.21998
"5","Angola",217,57,45,5.5945
"6","Antigua and Barbuda",102,128,45,4.8316
"7","Argentina",193,25,221,7.71594
"8","Armenia",21,179,11,3.71194
"9","Australia",261,72,212,9.57438
"10","Austria",279,75,191,9.57174
"11","Azerbaijan",21,46,5,1.2653
"12","Bahamas",122,176,53,6.16752
"13","Bahrain",42,63,7,1.96728
"14","Bangladesh",0,0,0,0
"15","Barbados",143,173,36,6.18234
"16","Belarus",142,373,42,9.79068
"17","Belgium",295,84,212,10.38058
"18","Belize",263,114,8,6.75002
"19","Benin",34,4,13,0.89472
"20","Bhutan",23,0,0,0.4025
"21","Bolivia",167,41,8,3.78522
"22","Bosnia and Herzegovina",76,173,8,4.51592
"23","Botswana",173,35,35,4.2609
"24","Brazil",245,145,16,7.12174
"25","Brunei Darussalam",31,2,1,0.59534
"26","Bulgaria",231,252,94,10.13586
"27","Burkina Faso",25,7,7,0.68418
"28","Burundi",88,0,0,1.54
"29","Cabo Verde",144,56,16,3.78784
"30","Cambodia",57,65,1,2.15914
"31","Cameroon",147,1,4,2.66066
"32","Canada",240,122,100,8.1112
"33","Central African Republic",17,2,1,0.35034
"34","Chad",15,1,1,0.29774
"35","Chile",130,124,172,7.49148
"36","China",79,192,8,4.90282
"37","Colombia",159,76,3,4.17302
"38","Comoros",1,3,1,0.08794
"39","Republic of the Congo",76,1,9,1.50636
"41","Costa Rica",149,87,11,4.33274
"42","Ivory Coast",37,1,7,0.78858
"43","Croatia",230,87,254,10.03676
"44","Cuba",93,137,5,4.1269
"45","Cyprus",192,154,113,8.06372
"46","Czech Republic",361,170,134,11.67326
"47","Denmark",224,83,278,10.28472
"48","Djibouti",15,44,3,1.08982
"49","Dominica",52,286,26,6.40224
"50","Dominican Republic",193,147,9,6.12346
"51","Democratic Republic of the Congo",32,3,1,0.63044
"52","Ecuador",162,74,3,4.19032
"53","Egypt",6,4,1,0.19304
"54","El Salvador",52,69,2,2.15968
"55","Equatorial Guinea",92,0,233,5.72012
"56","Eritrea",18,0,0,0.315
"57","Estonia",224,194,59,8.37516
"58","Ethiopia",20,3,0,0.4028
"59","Fiji",77,35,1,1.98114
"60","Finland",263,133,97,8.65438
"61","France",127,151,370,11.4069
"62","Gabon",347,98,59,8.83806
"63","Gambia",8,0,1,0.15764
"64","Georgia",52,100,149,5.29836
"65","Germany",346,117,175,11.2012
"66","Ghana",31,3,10,0.7717
"67","Greece",133,112,218,8.14422
"68","Grenada",199,438,28,11.68522
"69","Guatemala",53,69,2,2.17718
"70","Guinea",9,0,2,0.19278
"71","Guinea Bissau",28,31,21,1.40604
"72","Guyana",93,302,1,6.96034
"73","Haiti",1,326,1,5.77274
"74","Honduras",69,98,2,2.96758
"75","Hungary",234,215,185,11.1424
"76","Iceland",233,61,78,6.52702
"77","India",9,114,0,2.1639
"78","Indonesia",5,1,0,0.1051
"79","Iran",0,0,0,0
"80","Iraq",9,3,0,0.2103
"81","Ireland",313,118,165,10.4649
"82","Israel",63,69,9,2.47566
"83","Italy",85,42,237,6.40738
"84","Jamaica",82,97,9,3.30096
"85","Japan",77,202,16,5.18494
"86","Jordan",6,21,1,0.49224
"87","Kazakhstan",124,246,12,6.71128
"88","Kenya",58,22,2,1.43748
"89","Kiribati",21,34,1,0.98354
"90","Kuwait",0,0,0,0
"91","Kyrgyzstan",31,97,6,2.35554
"92","Laos",62,0,123,3.25472
"93","Latvia",281,216,62,9.81278
"94","Lebanon",20,55,31,1.86484
"95","Lesotho",82,29,0,1.9454
"96","Liberia",19,152,2,3.04298
"97","Libya",0,0,0,0
"98","Lithuania",343,244,56,11.28474
"99","Luxembourg",236,133,271,11.25124
"100","Macedonia",107,27,86,3.86474
"101","Madagascar",26,15,4,0.78956
"102","Malawi",8,11,1,0.35124
"103","Malaysia",13,4,0,0.2979
"104","Maldives",0,0,0,0
"105","Mali",5,1,1,0.12274
"106","Malta",149,100,120,6.4843
"107","Marshall Islands",0,0,0,0
"108","Mauritania",0,0,0,0
"109","Mauritius",98,31,18,2.57812
"110","Mexico",238,68,5,5.45
"111","Micronesia",62,50,18,2.28252
"112","Moldova",109,226,18,6.20262
"113","Monaco",0,0,0,0
"114","Mongolia",77,189,8,4.81502
"115","Montenegro",31,114,128,4.80682
"116","Morocco",12,6,10,0.492
"117","Mozambique",47,18,5,1.2275
"118","Myanmar",5,1,0,0.1051
"119","Namibia",376,3,1,6.65044
"120","Nauru",49,0,8,0.99862
"121","Nepal",5,6,0,0.1931
"122","Netherlands",251,88,190,9.2929
"123","New Zealand",203,79,175,8.0299
"124","Nicaragua",78,118,1,3.45944
"125","Niger",3,2,1,0.10534
"126","Nigeria",42,5,2,0.85828
"128","North Korea",0,0,0,0
"129","Norway",169,71,129,6.48266
"130","Oman",22,16,1,0.68424
"131","Pakistan",0,0,0,0
"132","Palau",306,63,23,6.86952
"133","Panama",285,104,18,7.13542
"134","Papua New Guinea",44,39,1,1.47404
"135","Paraguay",213,117,74,7.09206
"136","Peru",163,160,21,6.03894
"137","Philippines",71,186,1,4.53374
"138","Poland",343,215,56,10.77434
"139","Portugal",194,67,339,10.55416
"140","Qatar",1,42,7,0.88018
"141","Romania",297,122,167,10.29058
"142","Russian Federation",247,326,73,11.34782
"143","Rwanda",43,2,0,0.7877
"144","Samoa",105,18,24,2.57766
"145","San Marino",0,0,0,0
"146","Sao Tome and Principe",56,38,140,4.1184
"147","Saudi Arabia",0,5,0,0.088
"148","Senegal",9,1,7,0.29858
"149","Serbia",283,131,127,9.49838
"150","Seychelles",157,25,51,4.08714
"151","Sierra Leone",25,3,2,0.52558
"152","Singapore",60,12,11,1.45524
"153","Slovakia",196,293,116,10.63304
"154","Slovenia",270,51,276,10.49124
"155","Solomon Islands",56,11,1,1.19124
"156","Somalia",0,0,0,0
"157","South Africa",225,76,81,6.70394
"158","South Korea",140,16,9,2.89036
"159","Spain",284,157,112,9.70888
"160","Sri Lanka",16,104,0,2.1104
"161","Saint Kitts and Nevis",194,205,32,7.56748
"162","Saint Lucia",171,315,71,9.78894
"163","Saint Vincent and the Grenadines",120,221,11,6.18364
"164","Sudan",8,13,0,0.3688
"165","Suriname",128,178,7,5.49628
"166","Swaziland",90,2,2,1.64548
"167","Sweden",152,60,186,6.99704
"168","Switzerland",185,100,280,9.9367
"169","Syrian Arab Republic",5,35,16,0.98574
"170","Tajikistan",2,15,0,0.299
"171","Tanzania",36,6,1,0.75324
"172","Thailand",99,258,1,6.29094
"173","Timor Leste",1,1,4,0.10566
"174","Togo",36,2,19,1.00036
"175","Tonga",36,21,5,1.0878
"176","Trinidad and Tobago",197,156,7,6.31658
"177","Tunisia",51,3,20,1.2981
"178","Turkey",51,22,7,1.40318
"179","Turkmenistan",19,71,32,2.14658
"180","Tuvalu",6,41,9,0.98536
"181","Uganda",45,9,0,0.9459
"182","Ukraine",206,237,45,8.57
"183","United Arab Emirates",16,135,5,2.7442
"184","United Kingdom",219,126,195,9.4899
"185","Uruguay",115,35,220,6.5093
"186","United States",249,158,84,8.62006
"187","Uzbekistan",25,101,8,2.35622
"188","Vanuatu",21,18,11,0.87834
"189","Venezuela",333,100,3,7.64042
"190","Viet Nam",111,2,1,1.99534
"191","Yemen",6,0,0,0.105
"192","Zambia",32,19,4,0.96496
"193","Zimbabwe",64,18,4,1.50736
