"","Country.Name","AverageRain2014","ForestLand2014","AgriculturalLand2014","RuralLand2000","UrbanLand2000","PermCropLand2014","TotalLand2014","PopDensity2014","LifeTotal2014"
"1","Albania",1485,7724.60022,42.8573007,26686.71094,1689.403809,2.934306625,27400,105.4417518,77.813
"2","Algeria",89,19484.00024,17.39526565,2285675.75,30195.79688,0.407181299,2381740,16.34254243,75.878
"3","Angola",1010,579808.0078,47.47734018,1248198.625,1427.029541,0.232614101,1246700,21.61047485,58.776
"4","Antigua and Barbuda",1030,98.00000191,20.45454545,167.8600616,266.2775574,2.272727273,440,210.3681818,76.349
"5","Argentina",591,274088.0078,54.33571212,2690269.5,55032.20313,0.365404923,2736690,15.59164538,75.913
"6","Australia",534,1244430,52.88377179,7641564.5,36745.70313,0.045559273,7682300,3.055814795,82.3
"7","Bahamas",1292,5150,1.398601399,12245.5166,425.8963623,0.3996004,10010,37.02627373,72.847
"8","Bahrain",83,5.899999738,11.15434572,115.1443634,549.2779541,3.891050661,770.9999847,1732.911837,76.624
"9","Bangladesh",2666,14315.99976,69.90089882,123889.625,11125.3916,6.376277176,130170,1187.064354,71.231
"10","Barbados",1422,63.00000191,27.90697674,14.80739212,420.3754272,2.325581395,430,662.3837209,78.717
"11","Belarus",618,86135.99609,42.4879174,198055.7813,7783.031738,0.580372752,202973.0078,46.67867468,72.97073171
"12","Belgium",847,6829.60022,43.96631601,18091.89063,12349.22852,0.736459684,30280,370.180218,81.28780488
"13","Belize",1705,13713.19946,7.014467339,21296.04492,508.0564575,1.402893468,22810,15.49171416,73.782
"14","Benin",1039,43610,33.25647393,113916.9609,1447.184937,4.434196524,112760,91.22775807,60.345
"15","Bosnia and Herzegovina",1028,21850,42.12890625,49338.41797,1723.146729,2.0703125,51200,68.00984375,76.723
"16","Brazil",1761,4945220,33.9284817,8241430,134981.375,0.786299344,8358140,24.25943272,74.745
"17","Brunei Darussalam",2722,3800,2.732447745,4743.62207,1017.068604,1.138519924,5270,77.75502846,75.193
"18","Bulgaria",608,38058.00049,45.84561533,103838.0078,6678.94043,1.169859985,108560,66.54327561,74.46585366
"19","Cabo Verde",228,889.4000244,19.60297767,3913.569092,180.3818817,0.992555831,4030,128.6027295,71.886
"20","Cambodia",1904,95844.00391,30.90301382,176298.1875,1152.062866,0.878087469,176520,86.53128824,68.273
"21","Cameroon",1604,190360,20.62575363,459153.1875,3680.405762,3.278965962,472710,47.98260667,57.083
"22","Canada",537,3471155.938,6.888583005,9084045,126511.1641,0.52309832,9093510,3.897002917,81.8
"23","Chile",1522,174341.9922,21.19774204,709418.75,12027.5166,0.614633911,743532.0313,23.88459172,79.504
"24","China",645,2067790.938,54.80841731,8868577,380679.3,1.706395348,9388211.25,145.3173521,75.629
"25","Colombia",3240,585284.6094,40.54723764,1090598.125,36132.13672,1.70712939,1109500,42.33367192,76.322
"26","Comoros",900,374.0000153,71.46695091,1478.78833,196.407196,28.47931126,1861.000061,408.0547959,63.214
"27","Congo Dem. Rep.",1543,1528894.063,11.55686906,2278811.75,9061.722656,0.396991685,2267050,32.538959,58.828
"28","Congo Rep.",1646,223494.0039,31.11859444,338427.125,1087.161865,0.225475842,341500,13.87108053,62.582
"29","Costa Rica",2926,27258.00049,34.86290591,46479.98438,4051.562988,6.149627889,51060,93.9168821,79.398
"30","Cote d'Ivoire",1348,104014.0039,64.77987421,314812.3438,3466.161621,14.1509434,318000,71.21912893,55.508
"31","Croatia",1113,19215.99976,26.96211667,51019.57031,5302.795898,1.386704762,55960,75.73961758,77.47804878
"32","Cuba",1335,31463.99902,60.36252794,100440.7969,9572.447266,4.102095868,104020,108.6993078,78.521
"33","Cyprus",498,1727.299957,11.79437266,6949.833984,2280.400391,2.922077922,9240,124.7061688,80.178
"34","Denmark",703,6071.799927,62.61014527,33044.11719,9295.174805,0.095260776,41990,134.4004525,80.7
"35","Dominican Republic",1410,19498.00049,48.68557235,42784.17969,5089.375977,7.348375078,48310,210.4156075,73.003
"36","Ecuador",2274,126266.1035,22.55476001,244458.2344,10905.65137,5.882589789,248360,64.22869222,75.923
"37","Egypt Arab Rep.",51,724.0000153,3.732171321,951268.875,24270.23242,1.079913607,995450,90.83796675,71.117
"38","El Salvador",1784,2693.999939,76.88223938,16349.95117,3598.269287,10.13513514,20720,303.8189189,72.175
"39","Equatorial Guinea",2156,15795.99976,10.12477718,26800.91797,97.47089386,2.139037433,28050,40.00983957,57.001
"40","Estonia",626,22323.99902,22.40625719,40498.62109,2614.681396,0.069013112,43470,30.24028065,77.03414634
"41","Eswatini",788,5814.000244,71.04651163,16551.38672,802.2711182,0.872093023,17200,63.66401163,53.569
"42","Ethiopia",848,124584.0039,36.259,1117893.375,5166.71582,1.14,1e+06,98.094253,64.547
"43","Fiji",2592,10123.40027,23.26217843,17199.44379,1746.58667,4.652435687,18270,47.42490421,67.03
"44","Finland",536,222180,7.460265549,289666.2813,20052.17383,0.010859192,303890,17.97200303,81.1804878
"45","France",867,168760,52.53608375,457993.5938,86463.0625,1.817527721,547556.9922,121.1126895,82.67073171
"46","Gabon",1831,228000,20.02561416,261381.75,836.4829102,0.659758606,257670,7.310901541,64.318
"47","Gambia",836,4863.999939,59.7826087,10461.87305,446.1829224,0.494071146,10120,200.0041502,60.667
"48","Georgia",1026,28223.99902,34.76845674,64912.71484,3602.762939,1.582961577,69490,65.07250079,72.707
"49","Germany",700,114170,47.93637145,291859.2188,62374.19922,0.581828604,348900,232.1080539,81.0902439
"50","Ghana",1187,93085.99609,68.99885734,224697.4844,6239.439453,11.86604553,227540,119.646972,62.416
"51","Greece",652,40238.00049,48.10705974,112653.5781,18519.16406,8.564778898,128900,84.50281614,81.38536585
"52","Grenada",2350,169.8999977,23.52941176,153.5099182,169.5156097,11.76470588,340,320.3,72.503
"53","Guatemala",1996,35763.99902,35.40313595,103568.3359,4132.351074,9.901082493,107160,148.5931598,72.935
"54","Guinea",1651,64000,59.01025558,243431.1875,1473.595703,2.848770959,245720,45.38082777,59.016
"55","Guinea-Bissau",1577,19820,57.9658606,33629.69922,306.3417664,8.890469417,28120,60.18630868,56.556
"56","Guyana",2387,165360,8.534417069,207343.4219,626.756958,0.152400305,196850,3.877978156,69.049
"57","Haiti",1440,978.0000305,66.76342525,26163.41602,764.3450928,10.15965167,27560,382.7651669,62.069
"58","Honduras",1976,47120,28.9123246,108150.5781,3702.359375,4.066493878,111890,80.03922603,74.278
"59","India",1083,705036.0156,60.44719645,2980489.25,222688.2344,4.372408087,2973190,435.762324,68.286
"60","Indonesia",2702,916943.9844,31.46442036,1838682.625,42076.82813,12.42016593,1811570,140.8330917,70.481
"61","Iran Islamic Rep.",228,106919.8047,28.21410153,1545056.125,69242.76563,1.098995555,1628760,47.56118335,75.502
"62","Iraq",216,8250,21.35084545,415377.6563,12429.91504,0.575867015,434128.0078,79.26683001,69.7
"63","Ireland",1118,7483.400269,64.82798665,63249.21484,5638.355957,0.014515895,68890,67.61126433,81.34878049
"64","Israel",435,1628.000031,24.84750519,15621.7832,6399.019531,4.491681929,21640,379.6534196,82.15365854
"65","Italy",832,92432.00195,44.7473992,223236.4375,73540.88281,8.135581696,294140,206.6673693,83.0902439
"66","Jamaica",2051,3355.799866,40.99722992,8015.424316,3000.631592,8.771929825,10830,265.478855,74.042
"67","Japan",1668,249595.9961,12.39302172,260649.5938,108678.2422,0.811937678,364560,349.1222295,83.58780488
"68","Jordan",111,975,11.98468123,86229.24219,3383.973877,0.951790944,88780,100.4736314,73.969
"69","Kenya",630,43763.99902,48.54693046,576333.75,4187.614746,0.931229574,569140,82.05359138,64.135
"70","Korea Dem. People’s Rep.",1054,51580,21.8420397,119243.4453,2343.61377,1.910140354,120410,208.1035794,71.198
"71","Korea Rep.",1274,61916.00098,17.94416554,77155.28906,21922.01563,2.206712512,97430,520.8524992,81.72195122
"72","Kuwait",121,62.5,8.535353878,13422.94238,3942.298828,0.370370365,17820,207.123569,75.019
"73","Lao PDR",1834,185722.4023,10.26429809,227855.5313,1018.75415,0.732235702,230800,28.76844021,66.144
"74","Latvia",641,33556.00098,30.10614345,60137.24219,3278.516846,0.09649405,62180,32.06468318,74.12439024
"75","Lebanon",661,1372.200012,64.32062561,8081.997559,2317.423828,12.31671554,10230,612.1612903,78.732
"76","Liberia",2391,42090,28.03156146,95634.38281,434.2752991,2.07641196,96320,45.26064161,61.723
"77","Libya",56,2170,8.723871012,1606874.75,10082.89258,0.187549018,1759540,3.615738773,71.981
"78","Lithuania",656,21780,47.12529772,59360.13672,4610.856445,0.544293671,62650,46.80553871,74.51707317
"79","Luxembourg",934,866.9999695,53.90535205,1782.765503,801.083374,0.637860063,2430,228.9378601,82.22926829
"80","Madagascar",1513,124890,71.18425576,587832.9375,2272.414795,1.065658302,581800,40.54638536,65.133
"81","Malawi",1181,31650,61.4128129,92909.46094,1815.103394,1.484938481,94280,172.7783199,61.042
"82","Malaysia",2875,221808.0078,24.62030132,312833.0313,15564.95215,21.30573733,328550,90.90415158,75.268
"83","Maldives",1972,10,26.33333365,291.7807007,0,10,300,1450.05,77.36
"84","Mali",282,47940,33.76605283,1243208.25,2910.42749,0.122931675,1220190,13.87834681,57.036
"85","Malta",560,3.49999994,31.96874857,30.62650871,293.3409119,3.93749997,320,1357.99375,82.04634146
"86","Mauritania",92,2280,38.52818473,1041101.875,771.6014404,0.010672359,1030700,3.813811972,63.654
"87","Mauritius",2041,385.6000137,42.36453202,727.6514893,1276.015869,1.97044335,2030,621.1497537,74.19439024
"88","Mexico",758,661316.0156,55.00450114,1831423.5,102418.1094,1.377093032,1943950,61.91266648,74.908
"89","Moldova",450,4043.999939,74.77943413,31217.15234,2607.522217,8.883480377,32870,123.8860557,71.267
"90","Morocco",346,56400,68.54470087,659759.4375,12057.44141,3.274703114,446300,76.6129218,75.477
"91","Mozambique",1032,381463.9844,63.51890943,769595.125,2739.14502,0.381494952,786380,33.42679493,56.062
"92","Myanmar",2091,295874.0039,19.34219391,657996.3125,6960.023438,2.373369266,653080,80.0526842,65.378
"93","Namibia",285,69932.00195,47.13891824,822303.125,2467.779053,0.010931749,823290,2.761396349,61.425
"94","Netherlands",778,3753.999939,54.58889806,21411.86328,12802.99316,1.077471037,33690,500.5938854,81.70731707
"95","New Zealand",1732,101517.998,42.21639892,253834.7031,8116.299805,0.254452926,263310,17.12696062,81.40487805
"96","Nicaragua",2280,31140,42.08908094,115694.2891,2882.378662,2.376599634,120340,51.04481469,73.429
"97","Nigeria",1150,74026.00098,77.73642083,880103.3125,17196.23438,7.136818297,910770,193.6876511,52.672
"98","North Macedonia",619,9980,50,21962.62305,2667.351074,1.506740682,25220,82.38600317,75.299
"99","Norway",1414,121100,2.702568719,292187.8125,20282.20508,0.008079469,365123.0078,14.06986657,82.1
"100","Oman",125,20,4.587399188,307667.5313,5651.354004,0.101130854,309500,13.01214863,76.634
"101","Pakistan",494,15150,47.0267746,751709.5,35871.94141,1.053341636,770880,253.3556779,66.36
"102","Panama",2928,46333.99902,30.36050578,71714.3125,2892.144043,2.488566048,74340,52.47935163,77.583
"103","Papua New Guinea",3142,335618.0078,2.627743674,459445.5,2003.610596,1.545731573,452860,17.54787572,63.181
"104","Peru",1738,741406.0156,18.57734375,1256339.875,16425.76758,1.07734375,1280000,23.50809297,75.529
"105","Philippines",2348,78000,41.72116578,282759.125,10817.37305,17.94278432,298170,337.100104,70.481
"106","Poland",600,94137.99805,47.10800483,277840.5,30501.3418,1.227995689,306190,124.1442732,77.60243902
"107","Portugal",854,31933.99902,40.29590168,78286.85156,12764.67676,8.16544005,91605.5957,113.5417757,81.12195122
"108","Puerto Rico",2054,4926.400146,22.28861296,459.9195251,8511.401367,5.636978579,8870,398.5201804,79.20246341
"109","Qatar",74,0,5.822566621,9779.24707,1495.149292,0.215331611,11610,211.8172265,79.646
"110","Romania",637,67917.99805,60.10952712,219047.9375,15594.78906,1.847183588,230080,86.53068063,74.9097561
"111","Russian Federation",460,8149715,13.29447034,16305829.27,187538.1445,0.097698767,16376870,8.781877489,70.74365854
"112","Sao Tome and Principe",3200,535.9999847,50.72916746,933.3151855,68.23683167,40.625,960,203.8822917,69.052
"113","Saudi Arabia",59,9770,80.74433843,1912311.875,41223.73828,0.067591142,2149690,14.3820709,74.533
"114","Senegal",686,83130,46.06035423,193255.5469,1796.192627,0.35319171,192530,73.62349244,66.37
"115","Seychelles",2330,406.6999817,3.369565114,187.9656067,122.5104828,3.043478209,460,198.6065217,73.22926829
"116","Sierra Leone",2526,29803.99902,54.71044611,71494.83594,710.4832764,2.285951787,72180,97.21729011,52.372
"117","Singapore",2497,163.5000038,0.930888592,103.5980911,565.5597534,0.141043723,709.0000153,7714.702232,82.49512195
"118","Slovenia",1162,12478.00049,30.52830322,17680.89453,2509.15625,2.635054603,20140,102.3823237,81.07804878
"119","Solomon Islands",3028,21906.00098,3.8585209,28264.57813,72.10932922,2.85816363,27990,20.97459807,71.896
"120","Somalia",282,64397.99805,70.33665955,634302.5625,398.7160645,0.039850799,627340,21.39760895,55.509
"121","South Africa",495,92410,79.83002086,53460.3125,53460.3125,0.340452893,1213090,44.96450469,61.968
"122","Spain",636,183837.4023,53.13368385,432138.3438,69794.58594,9.815877332,500210,92.92273645,83.22926829
"123","Sri Lanka",1712,20766.00098,43.69319088,61106.80859,4016.146484,15.94642003,62710,331.3347154,76.147
"124","St. Lucia",2301,203.6000061,17.37704981,263.5793762,351.2103882,11.47540984,610,292.2885246,75.44
"125","St. Vincent and the Grenadines",1583,270,25.64102564,322.5854187,111.6811523,7.692307692,390,279.1307692,72.01
"126","Suriname",2331,153357.998,0.565384596,139976.1719,692.7034912,0.038461538,156000,3.546621795,71.133
"127","Sweden",624,280730,7.445680075,390507.2813,31152.32031,0.012275662,407310,23.80523434,82.25365854
"128","Switzerland",1537,12501.99951,38.51351318,30190.08398,7898.148926,0.646320485,39516.00098,207.2236258,83.19756098
"129","Syrian Arab Republic",252,4910,75.81005282,173463.2344,11955.19727,5.83238033,183630,101.9205576,69.821
"130","Tanzania",1071,464320,44.76179725,886549.5625,3405.80542,2.427184466,885800,56.4007925,62.288
"131","Thailand",1622,163690,43.27741784,474183.4375,36597.01563,8.808158312,510890,133.9598152,75.747
"132","Timor-Leste",1500,6972.000122,25.55480834,14569.63867,359.4190674,5.043712172,14870,78.97316745,68.197
"133","Togo",1168,2078.000031,70.2334988,55426.64063,1663.073608,3.125574554,54390,131.2373047,59.58
"134","Trinidad and Tobago",2200,2328.600006,10.52631579,2879.285645,2286.748047,4.288499025,5130,265.5637427,72.768
"135","Tunisia",207,10308.00049,64.83650875,144635.9063,9897.881836,15.01029866,155360,71.21009912,75.734
"136","Turkey",593,116125.9961,50.10329639,723511.5,44090.15625,4.207216455,769630,100.3493978,76.172
"137","Ukraine",565,96352.00195,71.65840943,553950.875,32160.1582,1.541542233,579290,78.15074833,71.18658537
"138","United Arab Emirates",78,3215.400085,5.456209518,70575.10938,8568.158203,0.542100817,71020,129.740566,77.095
"139","United Kingdom",1220,31270,71.22721448,183648.9219,58698.75,0.185177528,241930,267.0737817,81.30487805
"140","United States",715,3098200,44.58803685,8549545.51,802053.5923,0.28423315,9147420,34.80614436,78.84146341
"141","Uruguay",1300,18222.6001,82.55970523,168731.9219,4689.679688,0.222831676,175020,19.42883099,77.244
"142","Venezuela RB",2044,468473.9844,24.48840769,868222.75,34403.92578,0.793605805,882050,34.06284678,72.762
"143","Vietnam",1821,146440,39.17825007,318130.0938,7589.041504,14.52252717,310070,295.7867417,75.056
"144","West Bank and Gaza",402,91.70000076,49.50166113,3505.060059,2496.458252,13.95348837,6020,693.2554817,73.303
"145","Yemen Rep.",167,5490,44.5972309,411287.5938,4703.399902,0.564426009,527970,48.91089456,66.066
