"","Indicator.Name","Series.Code","Surviveto65Female2014","Surviveto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","PopTotal2014","RuralPOP2014","Sanitation2014","CO22014","Education2014","Water2014"
"108","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.2169006,64.9518414,74.5,66.5,70.40243902,107.5061505,8.31271203,2948851,2886649,5835500,64.365,96.55655119,9607.54,10,86.73149276
"109","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",71.324567,63.6979294,67.929,64.351,66.144,46.37335713,2.29845549,3315121,3324635,6639756,67.513,66.82845018,1954.511,5,76.02923347
"110","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.6479192,65.7575552,79.4,69.1,74.12439024,855.6263899,5.46515399,1080377,913405,1993782,32.048,91.05317564,6974.634,11,98.47195819
"111","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.4666738,85.9429898,80.699,76.937,78.732,680.0324562,7.96600388,3107123,3155287,6262410,12.053,93.79788782,24070.188,10,91.80060625
"112","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",39.6996854,25.7527952,53.094,46.878,49.891,108.4617426,8.62813108,1040994,1002443,2043437,73.498,37.31715637,2467.891,7,68.37270204
"113","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",63.8190104,58.109906,63.181,60.279,61.723,63.81318203,8.91179706,2173341,2186164,4359505,50.603,16.53999341,935.085,6,71.42842762
"114","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.9774132,70.3784996,75.161,69.105,71.981,NA,NA,3137852,3224185,6362037,20.991,99.7,56996.181,9,96.75
"115","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,83.2,81,82.07317073,NA,NA,NA,NA,37223,85.687,99.95,44.004,9,100
"116","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.6328172,64.313782,80.1,69.2,74.51707317,1021.222566,6.1954704,1582988,1349379,2932367,32.892,91.7234496,12838.167,10,96.13359839
"117","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2240392,86.831117,85.2,79.4,82.22926829,7757.088555,6.4285974,277680,278639,556319,10.116,97.61613895,9658.878,12,99.9446015
"118","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",95.7325558,89.8247346,86.461,80.55,83.543,NA,NA,307019,283189,590208,0,NA,1283.45,10,100
"119","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",68.8466422,61.86432,66.664,63.613,65.133,22.99713268,5.08265223,11831207,11758680,23589887,65.466,9.362558686,3076.613,5,50.7779933
"120","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",63.3285154,49.575037,64.065,58.035,61.042,34.41162976,9.71204623,8266061,8023479,16289540,83.868,25.26087716,1276.116,8,66.06405914
"121","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.0591754,75.8525468,77.48,73.317,75.268,421.9693889,3.77302208,14480856,15385703,29866559,26.423,99.54990829,242821.406,6,96.78783326
"122","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",90.1063928,85.4213954,79.101,76.016,77.36,716.1892537,7.90784106,180345,254670,435015,61.894,97.64329956,1334.788,NA,98.74900429
"123","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",56.5803784,53.6570786,57.7,56.364,57.036,38.01019679,4.48112201,8468389,8465831,16934220,60.804,34.64501672,1411.795,9,73.19910174
"124","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.2258432,88.9307488,84.3,79.9,82.04634146,2463.715527,9.41760996,217382,217176,434558,5.653,99.96463864,2346.88,11,100.0000018
"125","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,650.0903248,18.79151803,NA,NA,57179,24.616,82.70520108,102.676,9,85.16592593
"126","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",67.9383948,61.04659,65.328,61.935,63.654,55.47625522,4.20351497,1962066,1968830,3930896,49.797,41.1419708,2709.913,9,65.11945597
"127","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.3660044,71.2392532,77.58,70.97,74.19439024,559.5051151,5.57696903,636163,624771,1260934,58.889,95.506954,4228.051,11,99.86658686
"128","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.0361824,73.041532,77.86,71.943,74.908,585.8949875,5.53723009,61491298,58863830,120355128,21.007,88.52427575,480270.657,14,97.86288796
"129","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",74.2263748,67.8004914,68.843,65.523,67.152,350.0716467,11.45053532,52856,54590,107446,77.601,84.05564485,150.347,NA,79.17329761
"130","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.228397,62.5701164,75.531,67.017,71.267,230.7698223,10.28395895,1846586,1709811,3556397,57.504,74.88150027,4932.115,9,87.95435513
"131","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,3864.936631,2.08751904,NA,NA,37322,0,100,NA,11,100
"132","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",77.9326988,57.9333656,73.119,64.873,68.863,155.8286458,3.72654654,1485883,1454225,2940108,31.837,57.50190656,20839.561,12,80.78406849
"133","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",88.306332,78.4171834,78.734,73.835,76.297,NA,NA,314468,307342,621810,34.529,97.2266555,2211.201,9,96.30699359
"134","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.4363224,84.842382,76.724,74.172,75.477,182.3083164,5.68352843,17269393,16922954,34192347,39.744,86.6509281,59863.775,9,83.59668366
"135","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",53.0808496,39.840846,58.727,53.222,56.062,36.54654576,5.86351609,13569513,12716650,26286163,66.122,25.64196973,8426.766,NA,48.95916359
"136","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",72.404411,58.580022,68.609,62.082,65.378,64.22121992,5.02961666,27081932,25198875,52280807,70.35,65.47027915,21631.633,5,78.28081008
"137","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",60.174147,47.4712896,64.089,58.595,61.425,442.4414354,8.20442635,1173380,1100050,2273430,54.174,33.5730819,3755.008,7,81.54271749
"138","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,909.9340447,8.82803554,NA,NA,11853,0,65.59552643,47.671,14,99.23724707
"139","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",75.8258702,69.7196044,70.586,67.792,69.168,41.00963263,5.76784756,14412033,12494893,26906926,81.818,52.66065537,8030.73,NA,87.3932624
"140","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.046475,88.7752908,83.5,80,81.70731707,5675.55011,10.8585376,8483667,8381341,16865008,10.31,97.74690004,167303.208,13,100.0000007
"141","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.3451112,81.2241398,79.932079,74.70124745,77.2528726,NA,NA,132886,135164,268050,31.069,100,4290.39,NA,98.64111891
"142","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.7529478,87.942398,83.3,79.6,81.40487805,4144.538425,9.41845045,2292539,2217161,4509700,13.719,100.0000013,34664.151,10,100.0000013
"143","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.9920138,70.387514,76.795,70.026,73.429,153.0401048,7.74704644,3115566,3027167,6142733,42.3,72.39542484,4862.442,7,81.44398571
"144","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",61.5961282,56.5327478,61.214,58.988,60.07,25.14721013,5.85065649,9598576,9641581,19240157,83.781,12.33280926,2126.86,NA,47.93507217
"145","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",48.207132,43.9811436,53.506,51.865,52.672,107.2197541,3.32807245,87099883,89305019,176404902,53.018,36.96303431,96280.752,9,67.30707971
"146","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.8068546,78.6589698,77.352,73.291,75.299,343.9353639,6.2901231,1038325,1039450,2077775,42.716,97.57483228,7510.016,13,93.16955633
"147","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,55305,8.727,78.27106323,NA,NA,99.77107927
"148","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.6098148,88.5006586,84.2,80.1,82.1,9118.316771,9.32755791,2553889,2583343,5137232,19.308,98.057924,47626.996,10,100
"149","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.2379862,81.7765794,79.141,74.875,76.634,721.9329557,3.52693373,1425910,2601350,4027260,19.855,99.83530155,61169.227,NA,90.53712471
"150","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",71.9558028,67.6089772,67.323,65.468,66.36,36.52147697,2.72200845,94775532,100531293,195306825,64.181,55.19319682,166298.45,12,90.48406022
"151","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,1402.13528,12.02302504,NA,NA,17626,22.483,99.99999548,260.357,12,99.32550545
"152","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.7354954,77.397768,80.765,74.58,77.583,883.6765885,6.73432699,1943938,1957377,3901315,33.629,79.74654155,8800.8,11,94.88219039
"153","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",66.9440696,58.7072714,64.543,61.911,63.181,107.0961839,3.61078618,3896119,4050612,7946731,87.012,14.72824381,6318.241,NA,39.56325937
"154","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",80.1591494,74.1469668,75.494,71.577,73.473,359.3796361,7.6255708,3241015,3358511,6599526,39.526,86.59574822,5702.185,13,95.93427087
"155","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.1566866,77.037177,78.161,72.944,75.529,331.8674472,5.06223495,15137227,14953132,30090359,22.827,72.83343991,61744.946,14,89.48704712
"156","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.053124,64.1486934,74.851,66.48,70.481,117.3398948,4.12741177,49899689,50613449,100513138,53.907,73.13895592,105653.604,11,92.08550355
"157","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.3580704,75.0480756,81.7,73.7,77.60243902,896.0129455,6.24838964,19595127,18416608,38011735,39.597,97.00370303,285739.974,10,98.70637152
"158","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.0571866,83.966856,84.4,78,81.12195122,1986.894638,9.02232798,5468262,4932800,10401062,37.064,99.31540498,45052.762,12,99.90317997
"159","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.7940754,78.5946244,82.9,75.681,79.20246341,NA,NA,1841666,1693208,3534874,6.349,97.15063086,NA,13,97.11338269
"160","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.1358752,91.694404,81.34,78.433,79.646,2104.407228,2.42296092,584692,1874506,2459198,1.132,100,107853.804,9,99.75320111
"161","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.9971718,71.7822554,78.7,71.3,74.9097561,503.4623518,5.03119789,10221124,9687855,19908979,46.1,82.06891281,70003.03,10,100
"162","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",82.4096088,57.583703,76.47,65.29,70.74365854,742.2849645,5.17099307,77184758,66634908,143819666,26.05,89.22284616,1705345.684,11,96.70242377
"163","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",71.8354524,63.932368,68.821,64.854,66.884,48.7316463,6.8969318,5642840,5440795,11083635,83.033,63.05800983,839.743,6,55.5431414
"164","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.3064212,75.0166018,74.762,70.511,72.549,259.1813645,6.22779528,92891,99330,192221,80.851,98.01723041,198.018,8,96.4066725
"165","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,3878.610908,7.08237366,NA,NA,32948,3.441,100,NA,10,100
"166","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",77.089926,67.4188766,71.394,66.737,69.052,122.805045,6.74057149,97807,97920,195727,30.787,39.89519927,113.677,6,82.21143609
"167","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.7954588,80.7852036,76.15,73.293,74.533,1284.789199,5.22794726,13383557,17533437,30916994,17.04,99.69381063,601046.969,9,99.51018985
"168","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",73.1829198,64.1224746,68.21,64.365,66.37,60.0312823,5.70465402,7282808,6891923,14174731,54.564,49.38172043,8855.805,11,77.02114452
"169","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.9419124,75.4861148,78,72.8,75.33658537,608.8586528,9.84231318,3635214,3495362,7130576,44.417,97.45731349,37667.424,8,87.04206605
"170","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.9460534,69.6644206,78.3,68.4,73.22926829,490.2197298,3.40399556,44277,47082,91359,45.031,100,495.045,10,96.24901256
"171","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",46.5369986,41.050999,53.216,51.485,52.372,139.7573331,19.72749069,3521434,3495710,7017144,59.568,14.58525285,1309.119,9,57.05395552
"172","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.5959556,89.0928696,84.8,80.3,82.49512195,2215.178162,3.87384676,2606984,2862740,5469724,0,100,56372.791,6,100
"173","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,37685,0,98.78102656,733.4,14,95.07411955
"174","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.1842506,75.2351628,80.5,73.3,76.81219512,1287.632737,6.9082491,2786818,2631831,5418649,46,97.92065195,30678.122,10,99.78675079
"175","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2448346,83.8974978,84.1,78.2,81.07804878,2059.640467,8.50636051,1037549,1024431,2061980,46.443,99.10921461,12812.498,9,99.53320891
"176","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",78.690478,72.3037414,73.774,70.266,71.896,119.8366042,5.88308293,288724,298355,587079,78.104,30.83105828,201.685,NA,70.13113155
"177","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",54.5941152,48.0994246,57.182,53.912,55.509,NA,NA,6725762,6697814,13423576,57.321,34.4139816,608.722,NA,47.49930979
"178","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",62.2446626,46.5210276,65.359,58.728,61.968,509.833261,7.93015013,27621049,26924942,54545991,35.688,72.9488813,489771.854,9,91.42619957
"179","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",53.681486,47.550277,58.034,55.106,56.552,NA,NA,5275534,5279349,10554883,81.374,8.796222851,1496.136,8,41.01193282
"180","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.978923,87.3538606,86.2,80.4,83.22926829,2671.436965,9.02414667,23635055,22845827,46480882,20.634,99.90437773,233976.602,10,99.9269377
"181","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.7957162,76.4997248,79.54,72.713,76.147,138.7720929,3.60648043,10746588,10031412,20778000,81.782,93.75370037,18393.672,9,87.67644335
"182","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,825.652259,5.2336506,NA,NA,50774,69.115,NA,231.021,12,NA
"183","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.7949156,74.3696056,76.829,74.122,75.44,501.1735066,5.82972733,90495,87801,178296,81.518,88.36977261,407.037,10,98.16255047
"184","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,82.6,76.2,79.32195122,NA,NA,NA,NA,36015,NA,NA,NA,NA,NA
"185","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",80.2424374,69.3269566,74.609,69.774,72.01,244.194153,3.67303708,53396,55465,108861,49.442,87.1843449,209.019,12,95.1452199
"186","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",67.991171,60.8655266,65.919,62.453,64.169,115.544126,5.5277981,19020770,18956885,37977655,66.311,33.66851824,15364.73,8,57.52663312
"187","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.9685214,66.9590962,74.461,67.983,71.133,538.1601913,5.62669725,274851,278422,553273,33.911,83.5151774,1991.181,6,94.22839412
"188","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.0182368,89.285207,84.2,80.4,82.25365854,6628.45896,11.14127066,4852495,4843615,9696110,13.753,99.30262683,43420.947,9,99.99999622
"189","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.6180762,89.4985392,85.4,81.1,83.19756098,10014.7093,11.4943653,4139234,4049415,8188649,26.304,99.89159035,35305.876,11,100
"190","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.6353204,63.7526266,76.601,64.032,69.821,NA,NA,9283034,9432638,18715672,48.5,91.71989083,30703.791,9,96.73146699
"191","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.635504,69.7377542,72.273,67.68,69.874,74.30047894,6.72734828,4088266,4164567,8252833,73.345,95.67872975,5188.805,9,76.51419319
"192","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",64.728237,55.3917802,64.349,60.22,62.288,38.40435735,4.16021866,25027582,24932240,49959822,69.096,25.35052196,11562.051,7,51.12092141
"193","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.1959082,72.7999152,79.49,72.102,75.747,219.3661586,3.68448062,34990204,33448526,68438730,53.057,97.53952279,316212.744,9,99.11123216
"194","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",75.9977346,68.6787408,70.127,66.375,68.197,78.84968346,2.36415328,580674,593657,1174331,70.867,50.22367683,469.376,9,72.34708193
"195","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",59.3269468,54.8848952,60.334,58.806,59.58,40.19228962,6.35890293,3592387,3545610,7137997,60.421,14.88624516,2621.905,10,61.79667331
"196","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.274494,67.7659762,72.363,68.506,70.427,215.9649833,5.11393074,50507,50521,101028,76.672,93.45179534,121.011,15,99.90654678
"197","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.3925924,70.6502806,75.5,70.112,72.768,1060.561,5.28134383,688383,673959,1362342,46.587,93.39890595,46273.873,6,98.18496206
"198","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.3858946,80.357961,77.832,73.7,75.734,290.9744968,6.81160799,5575114,5488087,11063201,32.228,89.70425283,28829.954,9,95.45727811
"199","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",88.4156952,79.6150844,79.209,73.075,76.172,527.2028417,4.34726586,39237322,37994585,77231907,26.923,96.64899267,345981.45,12,98.73386847
"200","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",75.52226,60.1630818,71.011,64.137,67.552,437.7528197,5.49777327,2775339,2690989,5466328,50.079,97.41482452,68422.553,12,97.52812231
"201","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,35369,8.149,87.98863636,205.352,13,94.31818182
"202","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,522.2887182,15.41002927,NA,NA,10972,41.214,84.17259744,11.001,8,99.250288
"203","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",60.627546,52.0845796,62.496,58.716,60.669,48.20641504,6.6980736,18790758,18121390,36912148,78.496,18.39250736,5229.142,7,44.82258425
"204","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.3147138,59.9836198,76.37,66.25,71.18658537,197.3648081,6.63534262,24340510,20931437,45271947,31.032,96.21379569,227298.995,11,93.5892114
"205","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.921999,84.2167904,78.504,76.414,77.095,1613.37514,3.62966276,2648903,6565272,9214175,14.625,98.57366934,211369.547,6,96.13178162
"206","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.18325,86.7162674,83.2,79.5,81.30487805,4567.707884,9.72392342,32785655,31827505,64613160,17.635,99.11370162,419820.162,11,99.999997
"207","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.7901442,80.2601018,81.3,76.5,78.84146341,9053.431717,16.50510561,160946480,157439941,318386421,18.517,99.96940672,5254279.285,12,99.25310176
"208","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.1642196,77.5526502,80.87,73.405,77.244,1467.942503,8.77018402,1760780,1639654,3400434,5.055,96.00701855,6747.28,14,99.0312164
"209","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",80.1946366,69.9193714,72.973,68.382,70.671,117.3688353,5.6760221,15441602,15316098,30757700,49.15,100,105213.564,12,97.37537203
"210","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",79.7888706,72.0321748,71.373,68.222,69.719,108.804164,3.45589292,129980,133908,263888,75.139,40.1924286,154.014,NA,89.28985815
"211","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.2370118,69.8956636,76.709,69.05,72.762,906.46436,5.77645067,15090643,14954491,30045134,11.856,93.93501902,185220.17,14,95.88767798
"212","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.4702258,71.659766,79.159,70.931,75.056,116.3602029,5.78317711,46015083,45699512,91714595,66.885,78.29218375,166910.839,9,92.27634392
"213","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2331192,86.1546702,82.4,75.7,78.96829268,NA,NA,56435,51449,107884,4.787,99.31675604,NA,NA,98.71827825
"214","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.2983016,76.8942264,75.057,71.631,73.303,NA,NA,2055699,2117699,4173398,24.887,96.43960832,NA,10,95.77048315
"215","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",70.8566544,63.7418398,67.77,64.404,66.066,79.74615338,4.84180493,12806508,13016977,25823485,65.835,57.41275511,22698.73,9,61.39094042
"216","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",60.916447,49.9995944,63.248,58.333,60.831,66.55567003,3.82924219,7782711,7617042,15399753,58.618,25.86263154,4503.076,7,58.1280011
"217","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",51.755831,44.4647054,59.892,56.632,58.41,89.07984198,8.67039013,7126780,6459901,13586681,67.496,38.25146054,12020.426,7,65.47338134
